pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len
escalaropt_std,Nothing,169,Manhattan,884.3909087181091,0.24558303886925795,139,566,0.2641509433962264,70,265
escalaropt_std,Nothing,169,Camberra,823.1432378292084,0.0,0,566,0.0,0,265
escalaropt_std,Nothing,169,BrayCurtis,1177.5371859073641,0.24558303886925795,139,566,0.2641509433962264,70,265
escalaropt_entropy,Nothing,169,Manhattan,891.6674926280975,0.254416961130742,144,566,0.23018867924528305,61,265
escalaropt_std,npSVD,169,Manhattan,964.8143644332886,0.2049469964664311,116,566,0.2716981132075472,72,265
escalaropt_entropy,npSVD,169,Manhattan,985.064281463623,0.21024734982332155,119,566,0.2792452830188679,74,265
escalaropt_std,_NMF,10,Manhattan,655.6199445724487,0.15371024734982333,87,566,0.17735849056603772,47,265
escalaropt_std,_NMF,20,Manhattan,665.9162268638612,0.1696113074204947,96,566,0.23018867924528305,61,265
escalaropt_std,_NMF,30,Manhattan,692.6967504024506,0.2473498233215548,140,566,0.2641509433962264,70,265
escalaropt_std,_NMF,40,Manhattan,709.2787744998932,0.28091872791519434,159,566,0.27547169811320754,73,265
escalaropt_std,_NMF,50,Manhattan,720.9895672798157,0.284452296819788,161,566,0.2339622641509434,62,265
escalaropt_std,_NMF,60,Manhattan,750.2607374191284,0.26855123674911663,152,566,0.2452830188679245,65,265
escalaropt_std,_NMF,70,Manhattan,780.2279999256134,0.2473498233215548,140,566,0.22641509433962265,60,265
escalaropt_std,_NMF,80,Manhattan,807.2732627391815,0.2632508833922261,149,566,0.2867924528301887,76,265
escalaropt_std,_NMF,90,Manhattan,832.4746446609497,0.2491166077738516,141,566,0.2452830188679245,65,265
escalaropt_std,_NMF,100,Manhattan,859.0483469963074,0.2667844522968198,151,566,0.2641509433962264,70,265
escalaropt_std,_NMF,110,Manhattan,884.7516193389893,0.2614840989399293,148,566,0.2490566037735849,66,265
escalaropt_std,_NMF,120,Manhattan,915.2163593769072,0.2632508833922261,149,566,0.2490566037735849,66,265
escalaropt_std,_NMF,130,Manhattan,961.7819936275482,0.2491166077738516,141,566,0.23773584905660375,63,265
escalaropt_std,_NMF,140,Manhattan,958.5049428939819,0.2614840989399293,148,566,0.2716981132075472,72,265
escalaropt_std,_NMF,150,Manhattan,980.2102289199828,0.22968197879858654,130,566,0.2415094339622641,64,265
escalaropt_entropy,_NMF,10,Manhattan,680.5937275886537,0.1607773851590106,91,566,0.2528301886792453,67,265
escalaropt_entropy,_NMF,20,Manhattan,709.2264261245728,0.22791519434628976,129,566,0.22641509433962265,60,265
escalaropt_entropy,_NMF,30,Manhattan,744.8607239723206,0.2402826855123675,136,566,0.2339622641509434,62,265
escalaropt_entropy,_NMF,40,Manhattan,766.6886496543884,0.2791519434628975,158,566,0.27547169811320754,73,265
escalaropt_entropy,_NMF,50,Manhattan,772.5860300064087,0.2561837455830389,145,566,0.2566037735849057,68,265
escalaropt_entropy,_NMF,60,Manhattan,796.7369916439056,0.26501766784452296,150,566,0.2641509433962264,70,265
escalaropt_entropy,_NMF,70,Manhattan,816.1159253120422,0.2314487632508834,131,566,0.27547169811320754,73,265
escalaropt_entropy,_NMF,80,Manhattan,822.9202644824983,0.2579505300353357,146,566,0.2528301886792453,67,265
escalaropt_entropy,_NMF,90,Manhattan,851.9624240398407,0.2173144876325088,123,566,0.2490566037735849,66,265
escalaropt_entropy,_NMF,100,Manhattan,870.5353636741638,0.2208480565371025,125,566,0.22264150943396227,59,265
escalaropt_entropy,_NMF,110,Manhattan,888.8006193637848,0.2173144876325088,123,566,0.2528301886792453,67,265
escalaropt_entropy,_NMF,120,Manhattan,910.751341342926,0.2261484098939929,128,566,0.2415094339622641,64,265
escalaropt_entropy,_NMF,130,Manhattan,929.0701017379761,0.2120141342756184,120,566,0.2528301886792453,67,265
escalaropt_entropy,_NMF,140,Manhattan,952.5306091308594,0.20141342756183744,114,566,0.26037735849056604,69,265
escalaropt_entropy,_NMF,150,Manhattan,931.2744247913361,0.21908127208480568,124,566,0.2528301886792453,67,265
